epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6981,1.6562,0.0569,0.0607,1.000000e-04
2,1.6404,1.6363,0.0862,0.0868,9.997557e-05
3,1.6191,1.6220,0.1142,0.1008,9.990232e-05
4,1.6005,1.6060,0.1263,0.1219,9.978032e-05
5,1.5852,1.5918,0.1361,0.0851,9.960968e-05
6,1.5712,1.5764,0.1200,0.1141,9.939057e-05
7,1.5533,1.5639,0.1450,0.1411,9.912322e-05
8,1.5385,1.5501,0.1694,0.1544,9.880788e-05
9,1.5231,1.5365,0.1905,0.1470,9.844487e-05
10,1.5116,1.5258,0.2061,0.1658,9.803454e-05
11,1.4960,1.5113,0.2289,0.2030,9.757730e-05
12,1.4817,1.4995,0.2621,0.2708,9.707360e-05
13,1.4690,1.4878,0.2775,0.2022,9.652394e-05
14,1.4552,1.4730,0.2927,0.2519,9.592885e-05
15,1.4422,1.4636,0.3033,0.3080,9.528894e-05
16,1.4273,1.4505,0.3173,0.2412,9.460482e-05
17,1.4181,1.4405,0.3158,0.2927,9.387718e-05
18,1.4055,1.4276,0.3165,0.2956,9.310673e-05
19,1.3910,1.4198,0.3338,0.3117,9.229423e-05
20,1.3809,1.4069,0.3313,0.3193,9.144049e-05
21,1.3694,1.3984,0.3411,0.3030,9.054634e-05
22,1.3564,1.3853,0.3450,0.3395,8.961267e-05
23,1.3459,1.3716,0.3402,0.3187,8.864041e-05
24,1.3341,1.3636,0.3460,0.3455,8.763050e-05
25,1.3189,1.3534,0.3592,0.3508,8.658395e-05
26,1.3096,1.3482,0.3544,0.3162,8.550179e-05
27,1.3001,1.3313,0.3473,0.3417,8.438508e-05
28,1.2851,1.3252,0.3595,0.3584,8.323494e-05
29,1.2756,1.3075,0.3616,0.3514,8.205249e-05
30,1.2624,1.3029,0.3720,0.3803,8.083890e-05
31,1.2503,1.2904,0.3719,0.3479,7.959537e-05
32,1.2408,1.2874,0.3674,0.3513,7.832313e-05
33,1.2267,1.2650,0.3637,0.3416,7.702343e-05
34,1.2130,1.2545,0.3536,0.3070,7.569755e-05
35,1.2014,1.2439,0.3352,0.2875,7.434681e-05
36,1.1784,1.2099,0.3156,0.2630,7.297253e-05
37,1.1438,1.1788,0.3326,0.3315,7.157607e-05
38,1.1131,1.1515,0.3639,0.3175,7.015882e-05
39,1.0862,1.1244,0.3778,0.3546,6.872217e-05
40,1.0520,1.0967,0.3971,0.3833,6.726753e-05
41,1.0248,1.0834,0.4158,0.3651,6.579634e-05
42,0.9999,1.0533,0.4107,0.4051,6.431006e-05
43,0.9769,1.0281,0.4252,0.4043,6.281015e-05
44,0.9551,1.0083,0.4394,0.4055,6.129809e-05
45,0.9351,1.0107,0.4473,0.3986,5.977538e-05
46,0.9152,0.9809,0.4513,0.4356,5.824351e-05
47,0.8971,0.9593,0.4544,0.4317,5.670400e-05
48,0.8796,0.9479,0.4647,0.4550,5.515836e-05
49,0.8606,0.9385,0.4741,0.4519,5.360813e-05
50,0.8502,0.9252,0.4787,0.4691,5.205483e-05
51,0.8322,0.9110,0.4789,0.4521,5.050000e-05
52,0.8172,0.8976,0.4877,0.4620,4.894517e-05
53,0.8030,0.8838,0.4938,0.4784,4.739187e-05
54,0.7934,0.8765,0.4971,0.4937,4.584164e-05
55,0.7787,0.8605,0.5062,0.4730,4.429600e-05
56,0.7662,0.8478,0.5066,0.4626,4.275649e-05
57,0.7549,0.8404,0.5108,0.4402,4.122462e-05
58,0.7443,0.8264,0.5169,0.4831,3.970191e-05
59,0.7324,0.8195,0.5215,0.4752,3.818985e-05
60,0.7223,0.8112,0.5239,0.5211,3.668994e-05
61,0.7095,0.8001,0.5307,0.5094,3.520366e-05
62,0.6991,0.7893,0.5405,0.5001,3.373247e-05
63,0.6929,0.7806,0.5372,0.4733,3.227783e-05
64,0.6835,0.7703,0.5424,0.5097,3.084118e-05
65,0.6759,0.7692,0.5476,0.5192,2.942393e-05
66,0.6663,0.7585,0.5488,0.5103,2.802747e-05
67,0.6596,0.7510,0.5525,0.5072,2.665319e-05
68,0.6507,0.7429,0.5555,0.5283,2.530245e-05
69,0.6448,0.7365,0.5606,0.5213,2.397657e-05
70,0.6371,0.7342,0.5636,0.5222,2.267687e-05
71,0.6297,0.7243,0.5681,0.5259,2.140463e-05
72,0.6251,0.7174,0.5706,0.5370,2.016110e-05
73,0.6182,0.7094,0.5751,0.5315,1.894751e-05
74,0.6128,0.7098,0.5759,0.5370,1.776506e-05
