epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6768,1.6330,0.0383,0.0451,1.000000e-04
2,1.6235,1.6168,0.0422,0.0464,9.997557e-05
3,1.6064,1.6026,0.0867,0.1607,9.990232e-05
4,1.5894,1.5916,0.1469,0.0848,9.978032e-05
5,1.5747,1.5723,0.1525,0.2172,9.960968e-05
6,1.5583,1.5605,0.1974,0.2337,9.939057e-05
7,1.5465,1.5503,0.2070,0.2406,9.912322e-05
8,1.5332,1.5340,0.2296,0.2522,9.880788e-05
9,1.5208,1.5228,0.2350,0.3149,9.844487e-05
10,1.5086,1.5105,0.2579,0.3148,9.803454e-05
11,1.4962,1.5000,0.2710,0.3190,9.757730e-05
12,1.4851,1.4880,0.2807,0.3245,9.707360e-05
13,1.4731,1.4767,0.2968,0.3015,9.652394e-05
14,1.4628,1.4648,0.2986,0.3279,9.592885e-05
15,1.4513,1.4572,0.3099,0.2666,9.528894e-05
16,1.4416,1.4448,0.3067,0.3736,9.460482e-05
17,1.4315,1.4344,0.3200,0.3430,9.387718e-05
18,1.4208,1.4228,0.3271,0.3662,9.310673e-05
19,1.4086,1.4113,0.3378,0.3492,9.229423e-05
20,1.3997,1.4036,0.3432,0.3989,9.144049e-05
21,1.3880,1.3942,0.3533,0.3580,9.054634e-05
22,1.3792,1.3821,0.3480,0.3347,8.961267e-05
23,1.3705,1.3709,0.3490,0.4020,8.864041e-05
24,1.3612,1.3661,0.3573,0.3752,8.763050e-05
25,1.3499,1.3599,0.3601,0.3879,8.658395e-05
26,1.3397,1.3398,0.3603,0.3743,8.550179e-05
27,1.3302,1.3330,0.3641,0.3924,8.438508e-05
28,1.3204,1.3214,0.3777,0.4015,8.323494e-05
29,1.3106,1.3139,0.3775,0.4042,8.205249e-05
30,1.3020,1.3069,0.3799,0.4214,8.083890e-05
31,1.2917,1.2966,0.3841,0.3994,7.959537e-05
32,1.2833,1.2857,0.3760,0.3811,7.832313e-05
33,1.2734,1.2753,0.3843,0.4071,7.702343e-05
34,1.2640,1.2702,0.3879,0.4162,7.569755e-05
35,1.2561,1.2578,0.3930,0.4173,7.434681e-05
36,1.2466,1.2525,0.4003,0.4376,7.297253e-05
37,1.2405,1.2432,0.3969,0.4238,7.157607e-05
38,1.2292,1.2272,0.3998,0.3857,7.015882e-05
39,1.2214,1.2283,0.3984,0.3965,6.872217e-05
40,1.2125,1.2181,0.3937,0.4393,6.726753e-05
41,1.2026,1.2106,0.3903,0.4079,6.579634e-05
42,1.1940,1.1954,0.3750,0.4100,6.431006e-05
43,1.1835,1.1843,0.3606,0.3808,6.281015e-05
44,1.1720,1.1777,0.3511,0.3681,6.129809e-05
45,1.1586,1.1543,0.3245,0.3554,5.977538e-05
46,1.1363,1.1315,0.3272,0.3812,5.824351e-05
47,1.1091,1.1057,0.3744,0.3951,5.670400e-05
48,1.0831,1.0816,0.4075,0.4188,5.515836e-05
49,1.0622,1.0658,0.4295,0.4673,5.360813e-05
50,1.0426,1.0490,0.4413,0.4874,5.205483e-05
51,1.0240,1.0343,0.4498,0.4459,5.050000e-05
52,1.0070,1.0111,0.4583,0.4597,4.894517e-05
53,0.9906,0.9986,0.4664,0.4951,4.739187e-05
54,0.9769,0.9836,0.4701,0.4840,4.584164e-05
55,0.9632,0.9711,0.4797,0.4962,4.429600e-05
56,0.9486,0.9612,0.4779,0.4969,4.275649e-05
57,0.9358,0.9431,0.4838,0.4537,4.122462e-05
58,0.9255,0.9360,0.4821,0.5036,3.970191e-05
59,0.9145,0.9287,0.4907,0.5009,3.818985e-05
60,0.9045,0.9165,0.4913,0.5231,3.668994e-05
61,0.8945,0.9065,0.4923,0.5071,3.520366e-05
62,0.8846,0.8956,0.4963,0.5104,3.373247e-05
63,0.8751,0.8885,0.4981,0.5239,3.227783e-05
64,0.8682,0.8822,0.5002,0.5223,3.084118e-05
65,0.8580,0.8733,0.5034,0.5337,2.942393e-05
66,0.8520,0.8672,0.5030,0.5217,2.802747e-05
67,0.8447,0.8645,0.5070,0.5201,2.665319e-05
68,0.8359,0.8539,0.5126,0.5201,2.530245e-05
69,0.8309,0.8452,0.5182,0.5339,2.397657e-05
70,0.8235,0.8412,0.5196,0.5258,2.267687e-05
71,0.8191,0.8351,0.5175,0.5215,2.140463e-05
72,0.8117,0.8322,0.5234,0.5347,2.016110e-05
73,0.8058,0.8240,0.5283,0.5193,1.894751e-05
74,0.8014,0.8194,0.5283,0.5208,1.776506e-05
75,0.7970,0.8176,0.5244,0.5253,1.661492e-05
76,0.7938,0.8141,0.5299,0.5394,1.549821e-05
77,0.7886,0.8088,0.5343,0.5370,1.441605e-05
78,0.7846,0.8086,0.5358,0.5552,1.336950e-05
79,0.7817,0.8022,0.5390,0.5229,1.235959e-05
80,0.7772,0.8002,0.5402,0.5477,1.138733e-05
81,0.7741,0.7979,0.5391,0.5546,1.045366e-05
82,0.7719,0.7947,0.5412,0.5452,9.559512e-06
83,0.7690,0.7936,0.5433,0.5546,8.705768e-06
84,0.7677,0.7882,0.5424,0.5358,7.893270e-06
85,0.7632,0.7902,0.5473,0.5569,7.122819e-06
86,0.7625,0.7874,0.5465,0.5528,6.395177e-06
87,0.7598,0.7861,0.5466,0.5510,5.711061e-06
88,0.7587,0.7850,0.5480,0.5524,5.071146e-06
89,0.7591,0.7837,0.5477,0.5510,4.476064e-06
90,0.7565,0.7833,0.5460,0.5531,3.926402e-06
91,0.7557,0.7821,0.5476,0.5515,3.422702e-06
92,0.7551,0.7818,0.5489,0.5541,2.965463e-06
93,0.7538,0.7800,0.5514,0.5493,2.555134e-06
94,0.7521,0.7786,0.5500,0.5470,2.192120e-06
95,0.7526,0.7786,0.5501,0.5525,1.876781e-06
96,0.7518,0.7789,0.5524,0.5517,1.609427e-06
97,0.7517,0.7785,0.5511,0.5522,1.390322e-06
98,0.7520,0.7783,0.5526,0.5538,1.219683e-06
99,0.7507,0.7778,0.5533,0.5520,1.097677e-06
100,0.7502,0.7776,0.5536,0.5517,1.024425e-06
