gen_ratio,best_val_dice,final_val_dice,best_epoch,final_epoch,lr,train_batch_size,val_batch_size,patch_size,roi_size,num_samples_per_vol,sw_batch_size,in_channels,out_channels,channels,strides,num_res_units,spacing,crop_margin,max_epochs,cache_rate,cache_workers,loader_workers,train_ratio,filter_empty,load_best,use_gen_axes_align,run_id,status,out_dir,real_root,gen_root,wandb_run_name,wandb_project,wandb_entity,wandb_mode,use_wandb,started_at,finished_at,duration_sec,seed,device,host,slurm_job_id,slurm_job_name,save_every,best_checkpoint,last_checkpoint,log_path,error_message
0.0,0.5304,0.5277,97,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260411-010358-1273609,completed,outputs/atlas1,atlas,uncond_gen,seg-1273609,atlas-seg,,offline,true,2026-04-11T01:03:58.629207+00:00,2026-04-11T04:01:48+00:00,10669.4,42,cuda:0,c013,1273609,seg,5,outputs/atlas1/unet3d_best_97.pt,outputs/atlas1/unet3d_last_100.pt,outputs/atlas1/training_log.csv,
0.1,0.5434,0.5412,99,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260411-061212-1273817,completed,outputs/atlas1+uncond1,atlas,USB/assets/uncond_gen,seg-aug-1273817,atlas-seg,,offline,true,2026-04-11T06:12:12.224686+00:00,2026-04-11T09:37:45+00:00,12332.8,42,cuda:0,c008,1273817,seg,5,outputs/atlas1+uncond1/unet3d_best_99.pt,outputs/atlas1+uncond1/unet3d_last_100.pt,outputs/atlas1+uncond1/training_log.csv,
0.2,0.5945,0.5862,68,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260411-215419-1275726,completed,outputs/atlas1+uncond2,atlas,USB/assets/uncond_gen,seg-aug-1275726,atlas-seg,,offline,true,2026-04-11T21:54:19.003992+00:00,2026-04-12T01:11:36+00:00,11837.0,42,cuda:0,c003,1275726,seg,5,outputs/atlas1+uncond2/unet3d_best_68.pt,outputs/atlas1+uncond2/unet3d_last_100.pt,outputs/atlas1+uncond2/training_log.csv,
0.3,0.5726,0.5708,91,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-031148-1276386,completed,outputs/atlas1+uncond3,atlas,USB/assets/uncond_gen,seg-aug-1276386,atlas-seg,,offline,true,2026-04-12T03:11:48.105378+00:00,2026-04-12T07:05:32.636844+00:00,14024.5,42,cuda:0,c010,1276386,seg,5,outputs/atlas1+uncond3/unet3d_best_91.pt,outputs/atlas1+uncond3/unet3d_last_100.pt,outputs/atlas1+uncond3/training_log.csv,
0.4,0.5687,0.5674,73,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-031246-1276387,completed,outputs/atlas1+uncond4,atlas,USB/assets/uncond_gen,seg-aug-1276387,atlas-seg,,offline,true,2026-04-12T03:12:46.391421+00:00,2026-04-12T06:54:56.349952+00:00,13330.0,42,cuda:0,c009,1276387,seg,5,outputs/atlas1+uncond4/unet3d_best_73.pt,outputs/atlas1+uncond4/unet3d_last_100.pt,outputs/atlas1+uncond4/training_log.csv,
0.5,0.5738,0.5704,92,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-031517-1276388,completed,outputs/atlas1+uncond5,atlas,USB/assets/uncond_gen,seg-aug-1276388,atlas-seg,,offline,true,2026-04-12T03:15:17.310521+00:00,2026-04-12T07:22:45.026687+00:00,14847.7,42,cuda:0,c004,1276388,seg,5,outputs/atlas1+uncond5/unet3d_best_92.pt,outputs/atlas1+uncond5/unet3d_last_100.pt,outputs/atlas1+uncond5/training_log.csv,
0.6,0.5685,0.5653,65,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-032447-1276389,completed,outputs/atlas1+uncond6,atlas,USB/assets/uncond_gen,seg-aug-1276389,atlas-seg,,offline,true,2026-04-12T03:24:47.141762+00:00,2026-04-12T08:21:57.700095+00:00,17830.6,42,cuda:0,c015,1276389,seg,5,outputs/atlas1+uncond6/unet3d_best_65.pt,outputs/atlas1+uncond6/unet3d_last_100.pt,outputs/atlas1+uncond6/training_log.csv,
0.7,0.5748,0.5681,67,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-033348-1276390,completed,outputs/atlas1+uncond7,atlas,USB/assets/uncond_gen,seg-aug-1276390,atlas-seg,,offline,true,2026-04-12T03:33:48.211736+00:00,2026-04-12T08:48:57.138971+00:00,18908.9,42,cuda:0,c012,1276390,seg,5,outputs/atlas1+uncond7/unet3d_best_67.pt,outputs/atlas1+uncond7/unet3d_last_100.pt,outputs/atlas1+uncond7/training_log.csv,
0.8,0.5759,0.5730,81,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-033348-1276391,completed,outputs/atlas1+uncond8,atlas,USB/assets/uncond_gen,seg-aug-1276391,atlas-seg,,offline,true,2026-04-12T03:33:48.213250+00:00,2026-04-12T09:08:37.609435+00:00,20089.4,42,cuda:0,c012,1276391,seg,5,outputs/atlas1+uncond8/unet3d_best_81.pt,outputs/atlas1+uncond8/unet3d_last_100.pt,outputs/atlas1+uncond8/training_log.csv,
0.9,0.5862,0.5842,76,100,0.0001,2,1,128x128x128,128x128x128,8,8,1,1,16x32x64x128x256,2x2x2x2,2,1.0x1.0x1.0,10,100,1.0,12,12,0.8,true,false,true,20260412-034448-1276392,completed,outputs/atlas1+uncond9,atlas,USB/assets/uncond_gen,seg-aug-1276392,atlas-seg,,offline,true,2026-04-12T03:44:48.917814+00:00,2026-04-12T08:29:31.740378+00:00,17082.8,42,cuda:0,c003,1276392,seg,5,outputs/atlas1+uncond9/unet3d_best_76.pt,outputs/atlas1+uncond9/unet3d_last_100.pt,outputs/atlas1+uncond9/training_log.csv,
