epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6082,1.5160,0.0360,0.0634,1.000000e-04
2,1.4780,1.4113,0.0699,0.0684,9.997557e-05
3,1.3890,1.3292,0.0779,0.0859,9.990232e-05
4,1.2997,1.2226,0.1122,0.2352,9.978032e-05
5,1.1848,1.1569,0.2011,0.2321,9.960968e-05
6,1.1264,1.1097,0.2432,0.2547,9.939057e-05
7,1.0842,1.0717,0.2728,0.2919,9.912322e-05
8,1.0540,1.0473,0.2804,0.2759,9.880788e-05
9,1.0301,1.0212,0.2862,0.3452,9.844487e-05
10,1.0084,1.0016,0.3194,0.3740,9.803454e-05
11,0.9887,0.9854,0.3329,0.3352,9.757730e-05
12,0.9676,0.9613,0.3355,0.3636,9.707360e-05
13,0.9480,0.9428,0.3398,0.3738,9.652394e-05
14,0.9283,0.9241,0.3467,0.3760,9.592885e-05
15,0.9022,0.8966,0.3574,0.3853,9.528894e-05
16,0.8814,0.8780,0.3691,0.4053,9.460482e-05
17,0.8638,0.8609,0.3765,0.4314,9.387718e-05
18,0.8450,0.8401,0.3870,0.4164,9.310673e-05
19,0.8290,0.8285,0.3946,0.4301,9.229423e-05
20,0.8110,0.8118,0.4094,0.4615,9.144049e-05
21,0.7946,0.7942,0.4125,0.4269,9.054634e-05
22,0.7759,0.7729,0.4287,0.4522,8.961267e-05
23,0.7609,0.7586,0.4358,0.4627,8.864041e-05
24,0.7443,0.7429,0.4482,0.4766,8.763050e-05
25,0.7282,0.7307,0.4612,0.4595,8.658395e-05
26,0.7123,0.7139,0.4697,0.4758,8.550179e-05
27,0.6977,0.7064,0.4751,0.4988,8.438508e-05
28,0.6838,0.6994,0.4828,0.4784,8.323494e-05
29,0.6694,0.6725,0.4928,0.4994,8.205249e-05
30,0.6543,0.6584,0.5014,0.5190,8.083890e-05
31,0.6400,0.6549,0.5109,0.5096,7.959537e-05
32,0.6316,0.6382,0.5128,0.5239,7.832313e-05
33,0.6160,0.6273,0.5256,0.5467,7.702343e-05
34,0.6072,0.6140,0.5283,0.5490,7.569755e-05
35,0.5926,0.6130,0.5354,0.5202,7.434681e-05
36,0.5848,0.6011,0.5405,0.5511,7.297253e-05
37,0.5718,0.5888,0.5476,0.5428,7.157607e-05
38,0.5642,0.5782,0.5509,0.5604,7.015882e-05
39,0.5634,0.5754,0.5439,0.5496,6.872217e-05
40,0.5467,0.5575,0.5617,0.5518,6.726753e-05
41,0.5380,0.5527,0.5645,0.5537,6.579634e-05
42,0.5317,0.5582,0.5694,0.5431,6.431006e-05
43,0.5257,0.5505,0.5688,0.5463,6.281015e-05
44,0.5191,0.5337,0.5726,0.5674,6.129809e-05
45,0.5113,0.5311,0.5801,0.5611,5.977538e-05
46,0.5027,0.5412,0.5858,0.5550,5.824351e-05
47,0.4972,0.5238,0.5878,0.5654,5.670400e-05
48,0.4935,0.5201,0.5912,0.5714,5.515836e-05
49,0.4851,0.5196,0.5962,0.5601,5.360813e-05
50,0.4852,0.5102,0.5922,0.5739,5.205483e-05
51,0.4775,0.4997,0.6004,0.5800,5.050000e-05
52,0.4755,0.4933,0.5992,0.5825,4.894517e-05
53,0.4708,0.4922,0.6053,0.5803,4.739187e-05
54,0.4646,0.5008,0.6077,0.5707,4.584164e-05
55,0.4625,0.4867,0.6075,0.5822,4.429600e-05
56,0.4560,0.4892,0.6142,0.5784,4.275649e-05
57,0.4570,0.4781,0.6104,0.5857,4.122462e-05
58,0.4500,0.4907,0.6173,0.5694,3.970191e-05
59,0.4447,0.4847,0.6217,0.5746,3.818985e-05
60,0.4396,0.4828,0.6262,0.5776,3.668994e-05
61,0.4389,0.4770,0.6269,0.5785,3.520366e-05
62,0.4384,0.4774,0.6242,0.5760,3.373247e-05
63,0.4295,0.4711,0.6328,0.5820,3.227783e-05
64,0.4299,0.4644,0.6292,0.5891,3.084118e-05
65,0.4289,0.4673,0.6320,0.5869,2.942393e-05
66,0.4246,0.4749,0.6357,0.5754,2.802747e-05
67,0.4218,0.4753,0.6363,0.5757,2.665319e-05
68,0.4189,0.4630,0.6396,0.5863,2.530245e-05
69,0.4138,0.4737,0.6437,0.5760,2.397657e-05
70,0.4146,0.4605,0.6430,0.5856,2.267687e-05
71,0.4145,0.4628,0.6454,0.5820,2.140463e-05
72,0.4101,0.4620,0.6469,0.5835,2.016110e-05
73,0.4089,0.4713,0.6476,0.5748,1.894751e-05
74,0.4049,0.4614,0.6516,0.5829,1.776506e-05
75,0.4054,0.4579,0.6503,0.5882,1.661492e-05
76,0.4015,0.4636,0.6537,0.5789,1.549821e-05
77,0.4004,0.4577,0.6535,0.5876,1.441605e-05
78,0.4026,0.4541,0.6538,0.5898,1.336950e-05
79,0.4002,0.4637,0.6551,0.5793,1.235959e-05
80,0.3998,0.4603,0.6568,0.5826,1.138733e-05
81,0.3980,0.4603,0.6552,0.5807,1.045366e-05
82,0.3980,0.4621,0.6577,0.5792,9.559512e-06
83,0.3939,0.4555,0.6570,0.5862,8.705768e-06
84,0.3933,0.4556,0.6583,0.5861,7.893270e-06
85,0.3940,0.4535,0.6603,0.5875,7.122819e-06
86,0.3942,0.4531,0.6609,0.5885,6.395177e-06
87,0.3950,0.4609,0.6591,0.5799,5.711061e-06
88,0.3909,0.4569,0.6626,0.5839,5.071146e-06
89,0.3894,0.4482,0.6627,0.5932,4.476064e-06
90,0.3919,0.4551,0.6617,0.5860,3.926402e-06
91,0.3912,0.4512,0.6616,0.5889,3.422702e-06
92,0.3892,0.4527,0.6632,0.5872,2.965463e-06
93,0.3889,0.4561,0.6657,0.5843,2.555134e-06
94,0.3868,0.4572,0.6658,0.5825,2.192120e-06
95,0.3915,0.4530,0.6617,0.5867,1.876781e-06
96,0.3854,0.4550,0.6648,0.5850,1.609427e-06
97,0.3858,0.4550,0.6681,0.5854,1.390322e-06
98,0.3896,0.4542,0.6647,0.5862,1.219683e-06
99,0.3863,0.4534,0.6675,0.5868,1.097677e-06
100,0.3873,0.4525,0.6659,0.5876,1.024425e-06
